Shoulder_Angle_Left,Shoulder_Angle_Right,Elbow_Angle_Left,Elbow_Angle_Right,Hip_Angle_Left,Hip_Angle_Right,Knee_Angle_Left,Knee_Angle_Right
51.776794,29.16646,1.4119462,17.242903,175.30388,153.25394,179.77272,168.61404
31.97252,70.8233,48.83827,38.60771,175.18613,169.12297,22.206337808270025,13.030940566843409
37.44818,76.78789,49.563778,42.47811,174.5861,169.91838,21.509176448373182,12.294580363136895
42.439743,82.91725,51.922966,45.596996,176.28926,168.18713,20.81373998956308,12.816422123610268
48.083305,92.8918,56.007656,52.469807,178.2403,165.49307,20.61349489036233,13.786850924924808
56.02639,99.52609,61.69211,59.56874,178.48302,165.4176,20.011666030536023,13.868187757495484
71.39811,116.41975,73.008385,77.24938,27.89797462951026,3.8488453976512162,nan,nan
77.05562,116.540886,77.81587,82.80227,29.15915761810358,5.601812210397423,nan,nan
86.20932,122.183525,85.07936,89.55611,28.654291150669216,4.996933553397568,nan,nan
94.570335,135.64278,91.45054,101.85059,26.57856119830072,3.7057680436784417,nan,nan
97.04331,137.38763,99.864334,108.24517,25.65335273526755,3.7411247969988533,nan,nan
102.48281,142.15521,105.99974,113.433136,25.40581783571189,3.7867354549615704,nan,nan
109.95589,144.40402,106.903244,116.072105,25.84694067722932,5.030115703181828,nan,nan
119.16424,149.36873,116.54156,124.87835,25.88032342131015,5.656019409447046,nan,nan
123.75064,151.4467,122.62474,128.3389,26.282662111983306,5.7489840355920245,nan,nan
127.24413,153.44524,127.81917,131.37903,25.91855908634681,5.868275318316305,nan,nan
131.19508,155.20628,132.89227,134.81839,25.499526163641868,6.031579744178734,nan,nan
134.60051,156.8869,137.4357,138.03795,25.500363644486328,5.981034629734658,nan,nan
136.52133,158.39713,139.5965,140.75455,25.61017144415272,6.017268747087172,nan,nan
139.81355,160.71431,144.2167,146.14246,25.524807275302692,6.1292358454448586,nan,nan
142.88872,160.8422,147.64392,149.01076,26.327409233657168,6.96985385254376,nan,nan
147.70013,161.76912,154.16035,155.28827,26.841111246109058,7.930756959986579,nan,nan
150.56836,163.50552,155.88988,160.16833,27.76524845476438,8.713855993452917,nan,nan
153.97624,2.879907890438332,159.01076,161.86105,28.77754341141864,nan,nan,nan
63.0854007607085,1.587743548285304,162.4366,164.74615,nan,nan,nan,nan
61.675810809770596,1.1591843509429722,165.46315,166.06474,nan,nan,nan,nan
60.343815889537545,0.05935350395578403,167.96413,168.6853,nan,nan,nan,nan
58.60631569195301,0.7885543973265908,171.63019,170.7623,nan,nan,nan,nan
57.40334701749786,1.1973084190214864,174.61766,171.67047,nan,nan,nan,nan
57.586240373542175,0.8174760187502175,174.89445,170.8941,nan,nan,nan,nan
57.5483784398065,0.8056551358886764,174.8581,170.86163,nan,nan,nan,nan
57.448100206402,0.82727563499237,174.93639,170.68625,nan,nan,nan,nan
57.755127439115114,0.4905337309483954,174.51297,170.09009,nan,nan,nan,nan
58.170702114167,0.018629124116198402,173.63391,168.99103,nan,nan,nan,nan
58.95449212853849,0.3946279382496265,171.7248,168.1389,nan,nan,nan,nan
61.00750097117963,1.4790123062923446,167.90991,165.55098,nan,nan,nan,nan
153.9286,160.71356,158.41325,159.13423,29.38102517895988,10.282620972967749,nan,nan
149.8099,160.66623,152.78513,155.96324,28.487514693662693,9.293229171444871,nan,nan
176.90306,137.53671,163.04141,133.44978,74.81359226452302,65.67160613686887,nan,nan
141.47482,156.43526,144.6565,144.68288,26.962648688240847,8.141174379230927,nan,nan
136.15674,155.21526,138.4875,140.4282,26.343701050452854,7.431496664982795,nan,nan
131.15346,152.4998,130.33606,134.62228,26.481318059763865,7.174167954579207,nan,nan
124.54398,151.62807,121.44107,134.17111,25.995164021079646,7.164347196478366,nan,nan
113.279236,149.97044,109.72635,129.02692,27.010901713808718,5.637915466628245,nan,nan
104.91949,145.08995,107.92753,120.6325,26.159707898853203,4.067160273016432,nan,nan
97.045334,135.00565,92.22084,105.87234,29.02307036457273,4.981808275793045,nan,nan
88.77721,126.354836,84.39946,95.228874,30.140596794006676,5.27514293223272,nan,nan
79.36424,116.92114,76.71115,83.69836,31.5713365607032,5.512345525691771,nan,nan
70.40413,105.99643,67.046394,71.03567,169.58907,172.00539,17.53823846765346,10.476218644512983
58.70661,95.21468,59.43407,60.716076,173.99808,167.53043,19.349147576039464,13.200593352892446
48.84936,84.04323,50.608604,49.064762,174.29434,167.93188,20.48721870557238,13.201266025056922
35.599716,68.309685,48.45257,36.826683,172.28624,171.82767,21.014636536057505,11.372483341749533
30.27501,63.067368,44.24898,32.965565,172.07426,171.88155,22.22661606366047,12.209173748120474
26.320366,60.21171,43.657322,32.054756,171.49255,173.46365,177.70526,175.87953
24.019073,57.204994,44.10393,31.776394,172.39774,173.48708,178.85585,176.79831
22.639894,55.902946,45.22139,31.93339,173.72595,173.4653,179.71883,177.7102
22.837532,56.864677,46.000504,32.70517,174.7877,172.66315,178.58527,176.93126
22.301847,56.897247,45.712036,32.439163,175.1918,173.51283,179.0757,179.28262
23.963636,60.0187,45.427017,32.34714,174.2468,173.56741,179.59651,179.64226
24.644487,64.31438,43.63753,33.753654,174.85059,172.82814,177.82939,179.55325
28.787422,67.09618,43.843655,33.61927,173.00443,173.31305,176.72829,179.20401
60.2434,34.034904,7.8107247,15.577459,177.52376,150.4886,178.21512,163.94794
34.383213,79.14445,46.830013,40.806908,173.77429,172.42154,18.707319711948546,9.257041193429043
40.916016,88.81502,50.159206,47.0174,174.76097,169.84747,18.875675044774184,9.948239610875186
44.845707,94.42663,54.608223,48.97869,173.94533,172.406,16.281822416830195,7.384925023961016
52.453228,101.27639,57.144592,58.315266,173.05148,171.05678,16.07499565392057,9.347730486491757
67.13413,116.57738,67.526955,73.63067,26.740095935231295,2.2645933064054202,nan,nan
74.42167,124.44035,73.48253,81.7056,26.521682483487336,1.7176981144782606,nan,nan
82.7883,125.645996,80.75307,87.985954,27.948248444011632,3.604956135486752,nan,nan
89.70146,135.92914,91.28635,96.74963,24.285251303805257,1.4972391459348762,nan,nan
92.933754,137.623,94.70913,104.385544,25.643703823862097,2.5830416218975594,nan,nan
99.81481,141.88423,101.14244,108.88517,25.539395195765575,3.1328164297012853,nan,nan
106.334656,145.89339,107.4189,114.83368,25.451484252374293,3.158846121762402,nan,nan
118.065865,149.44124,112.3639,122.40318,26.69853975736798,5.544849926362244,nan,nan
121.72,151.0822,116.043365,125.53535,26.24319717167532,5.926569326154755,nan,nan
125.708176,150.75613,121.26003,126.90506,27.227408860912295,6.369768619945034,nan,nan
129.01138,152.52272,126.07147,130.74419,26.888890340739266,6.581624676872935,nan,nan
131.66518,154.8481,130.32904,136.02907,26.421782826491615,6.631764177188265,nan,nan
135.31523,156.20059,135.19775,139.15161,26.59490094756772,6.7717301267227255,nan,nan
136.57834,157.00162,138.29912,140.81961,26.195255510850828,6.729103105523307,nan,nan
139.45473,158.84595,142.87839,144.45622,26.222702726081764,6.579264593199278,nan,nan
145.22377,160.00879,150.34006,150.27348,27.01995375114413,7.717546508726517,nan,nan
147.93929,160.33168,153.43991,152.6865,27.473913176997524,8.210909503764931,nan,nan
150.5961,162.16318,156.61325,156.46663,27.90559235787841,8.401505514240393,nan,nan
65.34797886195884,2.5615157933547863,160.05861,161.71646,nan,nan,nan,nan
63.245678011497276,1.9331928901451567,163.90361,163.076,nan,nan,nan,nan
61.47193367734516,1.3562790859415343,167.74245,164.38937,nan,nan,nan,nan
59.90526340549216,0.47855965598875094,171.4372,166.51646,nan,nan,nan,nan
57.847025938838314,1.1693072740846164,175.57759,170.12189,nan,nan,nan,nan
57.63908206039158,1.5666077064903299,176.05309,170.91809,nan,nan,nan,nan
57.43113394412373,2.1392183578939847,176.53105,172.24075,nan,nan,nan,nan
57.05425336115429,2.173360277580464,177.13658,172.39949,nan,nan,nan,nan
57.197592422027014,2.15065931432098,177.21442,172.21457,nan,nan,nan,nan
57.374924422817514,2.09444645614981,176.81653,171.98868,nan,nan,nan,nan
57.34043834798945,1.4115975434188435,176.59906,170.58926,nan,nan,nan,nan
57.862735183094664,1.1018316420816952,175.28357,169.50304,nan,nan,nan,nan
61.53754752363938,1.2755157712721792,168.11992,163.16309,nan,nan,nan,nan
64.12634970651857,2.2695924106774483,162.73523,161.19907,nan,nan,nan,nan
152.90265,4.61231909718673,157.03627,156.51515,29.36524358631956,nan,nan,nan
175.68782,149.57921,166.34909,142.94623,72.46752964008024,62.93968142818081,nan,nan
176.7269,143.92859,162.02202,137.16391,74.15153445931588,64.69801940833894,nan,nan
141.36206,155.79991,141.48509,142.62442,27.78203056100565,8.559409784737978,nan,nan
135.52133,153.24077,136.87495,136.47464,27.042815264442133,7.605847949724049,nan,nan
124.273895,151.96474,120.59287,131.65381,26.75997909310035,6.677764858916065,nan,nan
120.014206,148.75323,115.48625,125.37332,27.55036999174208,6.336865625716742,nan,nan
113.93417,148.13786,108.40392,122.36902,27.882110728865204,5.275323579569425,nan,nan
105.6806,140.95023,107.8009,113.08556,27.44800197666225,4.517960836063947,nan,nan
99.21616,136.44392,92.39419,105.960815,29.227366444689117,4.772719553020505,nan,nan
86.51417,121.52574,82.12479,88.44663,30.922399988157633,5.216392603717928,nan,nan
76.83928,114.794876,74.098114,78.59311,31.348476057740967,4.9381039194085155,nan,nan
68.236855,104.31275,66.350586,67.08589,170.43822,170.08316,17.776682853916963,11.300167763658548
47.281784,83.97173,50.356697,46.57575,175.52936,168.29305,20.978967937087468,12.287376980871459
38.99268,77.42022,45.60216,40.850815,171.65746,171.29875,20.315889248494248,11.352198015344113
34.66479,70.693535,46.78163,37.425087,171.61777,171.81635,20.501756882359583,11.113219898939688
29.508366,66.68972,42.976868,33.521046,170.76677,172.83617,175.04843,178.5674
25.93962,62.046684,42.04719,31.17375,173.34006,174.47269,178.09442,179.3093
29.900013,64.39365,50.551678,26.790522,177.84967,174.77084,173.31389,178.42728
29.236261,63.949146,52.11395,28.335518,178.13428,175.27846,173.56075,177.72987
21.543615,61.54742,52.86932,27.85679,177.20305,173.54486,176.7033,179.05373
21.704605,62.718494,51.217644,28.99675,176.59526,174.66817,178.20625,179.94405
58.223145,29.790442,2.9254963,7.729032,175.47467,148.13208,174.55971,158.34988
60.05037,29.906439,7.3851433,9.509897,177.75406,148.02837,177.84486,157.98615
30.663143,75.14661,45.950138,33.21723,178.71306,175.72812,168.12317,178.14584
29.02376,78.62935,44.36596,36.815434,177.1774,173.52908,174.79015,179.57478
58.299923,35.14585,6.546852,14.768923,174.0707,147.77956,174.30276,157.12433
37.772728,96.28485,54.17385,50.479156,177.14308,172.007,19.976642502942735,7.792688077414745
46.742424,107.215034,59.051853,56.843704,172.10495,173.96144,12.335644439333858,3.960134931130965
54.58133,112.77352,63.57476,64.16378,173.33037,173.23122,12.878814618504329,5.236845687777018
65.25671,121.81368,74.961266,73.23732,172.68246,171.28795,11.785887219971848,5.7018873463728434
72.01294,128.32214,80.01697,81.20528,171.44121,170.62402,10.639232479387504,6.104779700954325
81.34953,136.58717,88.457085,90.95361,21.16915845356504,1.6461761892888667,nan,nan
89.100975,139.98558,93.38437,96.85595,22.20650801911964,0.17566230078558492,nan,nan
90.716156,141.54013,94.69466,104.21002,23.66604021858116,1.1355462303105903,nan,nan
98.30262,145.00153,102.86668,110.26938,23.13875971869539,1.5709380657366878,nan,nan
108.206894,151.94154,112.20273,121.354805,22.749813332783024,2.204533119650942,nan,nan
115.778725,152.4456,111.48027,124.535995,24.457784353977644,4.063525064294235,nan,nan
119.48965,153.4698,115.85791,128.29909,24.242671761597233,4.671610969481997,nan,nan
124.12282,152.81113,122.52897,129.60152,25.09813425737493,5.322924941111694,nan,nan
128.07098,154.72206,127.20743,133.9432,25.038250940584568,5.602309891476173,nan,nan
130.5294,155.40166,129.77936,135.8567,25.305147035728663,6.038986553555874,nan,nan
133.71262,157.55434,133.2638,139.42274,25.446396338373,5.952575486964442,nan,nan
142.92546,159.4211,144.27505,147.5793,27.05507296531154,7.4257348740278,nan,nan
146.11876,159.32384,147.19008,151.14125,27.88480677918633,8.43417835521175,nan,nan
149.73094,159.41795,151.32393,153.17082,28.88515378945604,9.129443423863506,nan,nan
67.64283138802057,4.58208521680029,154.15979,157.80339,nan,nan,nan,nan
66.19828202789033,3.246276594028824,156.4664,160.47762,nan,nan,nan,nan
64.41357027650086,2.220511921880058,159.33212,163.01003,nan,nan,nan,nan
62.130770249003675,1.1511699363875039,163.4076,165.17805,nan,nan,nan,nan
60.598830449026664,0.08830358730440542,167.34415,167.67973,nan,nan,nan,nan
58.07425306133328,1.4353375937852155,173.92473,170.90103,nan,nan,nan,nan
56.987685390168245,1.9014107652377923,175.79443,171.72432,nan,nan,nan,nan
56.64491148955195,2.0646568877883973,176.12828,172.2033,nan,nan,nan,nan
56.723624029274816,2.492332233528031,176.23483,172.94608,nan,nan,nan,nan
56.89778913040001,2.6201950186201457,176.58109,173.05586,nan,nan,nan,nan
57.0608412482853,2.3394735792130112,176.2689,172.69385,nan,nan,nan,nan
57.23273359418055,1.8423262001337846,176.11954,171.55066,nan,nan,nan,nan
56.87761945805581,1.003399199575899,175.87335,170.04411,nan,nan,nan,nan
57.332120715542054,0.30268492278322723,175.12685,168.22287,nan,nan,nan,nan
58.484742927438944,0.8141139612873239,172.9232,165.52228,nan,nan,nan,nan
60.10790643392215,0.8386179388114808,169.66066,165.3494,nan,nan,nan,nan
61.95301706550937,1.5920557979285352,166.06363,163.61685,nan,nan,nan,nan
64.48249574947107,2.594673966549189,161.46812,161.71646,nan,nan,nan,nan
151.86769,161.4889,154.85815,158.8542,29.231297293390345,10.020828387938012,nan,nan
149.04115,159.46779,151.58633,154.68796,28.905653079787633,9.73214944742631,nan,nan
137.30217,154.62646,141.10693,140.91705,26.363401263273893,7.823498968452799,nan,nan
132.10266,153.7565,133.37137,137.60768,26.493122901670368,7.238503988420245,nan,nan
128.63017,152.7608,124.88499,134.56554,27.23089312179284,7.441593499895091,nan,nan
120.68213,148.55106,119.259605,126.2997,26.906951666391222,6.145377968733181,nan,nan
113.57489,150.80309,110.21911,126.9323,25.686050182212224,4.828111392341805,nan,nan
108.70667,145.48589,102.84888,120.19553,27.109015763974444,5.066901745529059,nan,nan
99.79384,137.6274,95.60358,108.3729,27.77389510475926,3.9366882043487172,nan,nan
81.915344,121.74933,77.70256,87.633194,29.7665521034268,4.41777584481823,nan,nan
72.004906,112.11344,69.948746,75.28062,169.23161,169.35036,15.626368256499187,11.257852335770096
61.401764,105.22495,61.630554,69.073204,174.7505,165.57602,17.915914715915868,13.875317687411618
51.124607,93.44272,53.617256,56.812164,174.15483,170.68095,17.8402305819464,11.533644323902113
43.362183,86.87581,50.35208,49.35741,175.6498,172.35007,17.95339192307534,9.80308894753165
36.179737,75.60308,45.45926,42.140903,172.36955,176.76584,16.4790292762982,3.6437117361307125
36.505924,75.20226,47.69667,37.16697,171.4688,176.95874,174.15402,177.3076
86.73681,54.543568,34.85906,45.111073,165.76517,138.78056,169.26236,152.43802
25.22917,68.78242,46.747215,33.063583,178.77075,179.66022,175.51173,178.30188
19.169573,63.61388,46.47121,31.112637,176.37225,174.85562,178.88336,179.59845
20.315006,62.851295,44.141735,32.197964,179.72304,172.47229,174.18755,179.22368
21.499035,65.70289,44.783684,32.879906,177.93198,172.04277,171.72084,179.86877
26.864626,70.493675,49.872322,33.228638,177.70773,176.63512,175.66504,173.04517
27.129818,73.79968,46.483265,35.1513,179.55325,179.08165,173.14212,175.72757
25.015102,71.96238,45.68416,35.105988,171.073,179.67917,178.71701,170.30095
33.433414,88.4641,43.090603,44.237434,104.31189,149.06796,116.00633,143.49467
33.7612,92.20557,41.987347,46.96042,108.812935,152.07088,118.48461,146.55339
39.973553,93.48528,48.651096,51.784473,172.48126,172.84311,14.911533786055445,3.3331641901042746
46.899643,102.675285,57.465576,60.052277,177.48555,176.52107,18.97853048524471,4.705300220743532
58.982224,36.846905,8.097302,18.050564,172.05315,152.9049,171.44402,166.2823
60.617947,113.87876,66.627174,68.08764,170.23056,175.8135,11.453679136265341,3.3701234467982704
68.27643,122.00933,73.70641,77.31809,170.87642,172.57019,11.757153455777026,4.981422282572724
74.06422,127.91202,79.46649,83.99143,170.40369,171.20222,11.01075088799386,6.323731455310278
