Shoulder_Angle_Left,Shoulder_Angle_Right,Elbow_Angle_Left,Elbow_Angle_Right,Hip_Angle_Left,Hip_Angle_Right,Knee_Angle_Left,Knee_Angle_Right,Label
74.705284,76.574814,134.12517,145.70906,102.040184,101.118355,91.12457,97.56444,situp
80.14016,79.58503,134.06781,141.40686,106.20369,106.27324,89.80391,97.35438,situp
84.88564,83.134346,126.95329,127.170235,111.35668,110.416695,91.81716,95.480934,situp
94.217964,88.46292,136.52704,134.5492,119.030014,119.88007,90.18453,97.01873,situp
91.286385,93.857956,111.220375,124.235504,129.88367,127.81799,100.18451,98.341675,situp
87.74208,96.94163,95.96463,120.320015,140.32939,136.36621,106.69251,100.904945,situp
87.55486,97.141014,95.698135,119.96448,140.23808,136.0978,106.83556,100.906166,situp
118.45263,103.92354,124.82763,134.47118,145.8992,147.66158,111.64624,103.53223,situp
125.70939,27.405775,128.47565,62.464558,148.86089,147.97232,108.5936,103.24883,situp
151.87936,124.7658,150.34752,121.9643,154.7404,151.36378,120.331154,106.47731,situp
175.43163,169.17418,172.40504,159.64813,147.80243,146.40645,112.03559,102.80303,situp
144.7051,75.289246,163.78726,99.467094,154.68633,152.15875,116.4533,103.91781,situp
146.14288,88.35992,161.19366,109.15977,154.7253,152.20769,117.09361,104.526505,situp
92.46536,84.99604,87.614235,95.561356,154.19615,152.00572,110.31299,102.67151,situp
101.10401,100.31736,110.18364,121.42576,150.75804,148.70644,116.34736,105.110725,situp
79.535645,72.657135,134.141,124.09389,149.16313,144.43259,112.54305,102.6377,situp
70.25147,70.41623,137.80254,134.00378,140.40273,137.34485,105.30935,99.22619,situp
57.078445,58.13286,146.44629,150.35901,135.95517,136.2167,98.29784,102.34901,situp
57.025257,58.093216,146.41397,150.35452,135.98648,136.25505,98.27836,102.3667,situp
48.677414,50.720894,155.6654,159.9783,129.00346,125.3052,100.41651,97.84985,situp
47.58724,53.203358,166.60304,175.0625,114.759315,114.0583,88.68874,93.78526,situp
44.688305,50.473392,163.92148,175.88708,107.688805,108.704575,88.548134,93.9622,situp
47.691597,52.696823,168.36555,177.22566,100.17611,102.416794,89.484375,96.30864,situp
79.184265,57.735737,87.37105,175.31366,92.96494,95.14886,89.930405,96.59237,situp
79.153946,57.68128,87.11648,175.46619,92.92492,95.07959,89.95071,96.55677,situp
48.32635,53.68656,167.85518,174.71613,86.00542,91.30802,87.325096,97.8814,situp
59.94276,58.227394,102.264725,179.86728,85.57569,87.380554,90.553795,96.2728,situp
46.702877,56.735188,162.00885,174.01462,75.88629,81.51043,87.321884,94.69439,situp
49.713703,56.233463,158.14218,169.27266,71.15661,72.84064,89.71527,92.16476,situp
55.71908,57.921135,164.10721,166.20094,67.12599,67.15239,90.74952,90.2787,situp
55.806057,57.83939,164.32109,166.2851,66.965675,67.25324,90.43933,90.27878,situp
56.252075,59.81285,162.1648,167.04285,63.328815,61.674133,90.09157,87.705956,situp
57.158566,60.93723,161.30946,167.05414,58.451206,57.83444,88.35628,89.22083,situp
62.685333,74.26028,159.9803,175.60884,51.314465,48.18772,88.3602,93.51824,situp
68.09101,72.66108,166.9319,174.42662,45.339592,43.44459,83.1206,90.3504,situp
64.31781,72.65173,161.55128,173.61542,45.330082,41.201958,88.30671,91.83676,situp
64.369095,72.59106,161.6478,173.50623,45.29634,41.240383,88.203705,91.797676,situp
69.20393,73.54204,167.01323,174.35333,39.4188,37.955093,86.87227,90.86517,situp
71.181244,73.78487,174.54169,177.55919,33.25825,28.865536,78.50317,82.27969,situp
67.483665,70.1278,168.18468,170.87428,30.847164,26.346228,78.6533,80.30162,situp
72.37678,75.49611,172.49988,172.91158,24.873043,17.552723,75.387924,78.20267,situp
71.94342,70.69999,171.79558,166.48523,21.645096,13.49289,76.47787,77.81105,situp
72.051994,70.478806,172.03488,166.24503,21.774864,13.50496,76.649734,77.731926,situp
71.15705,71.69132,169.05853,163.29826,26.580534,18.541485,62.18342309873704,77.22393,situp
69.94312,71.18086,167.0875,157.09189,22.64247,14.535135,63.57988023308443,70.4463419538419,situp
69.46126,72.23559,166.96442,157.08511,16.82726,8.145795,67.3314861833204,75.19769461670364,situp
69.80616,70.49635,166.52106,155.2239,13.721489,5.0439916,69.68795509131465,78.18914991087672,situp
68.673294,70.56389,167.31334,157.93576,12.746777,4.9224277,75.49294,69.776474,situp
68.71147,70.484566,167.39253,157.8556,12.9611845,5.176232,75.66837,70.07518,situp
67.94207,72.15086,171.71094,161.93874,14.006237,5.791124,76.39545,73.87138,situp
68.65363,75.475685,171.95235,171.62813,16.323183,9.683061,72.467735,72.28501,situp
68.83478,74.582664,173.29616,170.9443,17.965672,11.550601,68.15377,69.531,situp
69.53807,76.13173,173.05368,176.95128,22.17121,15.616555,67.806595,72.376976,situp
69.2106,75.846634,166.57681,173.07434,26.37081,22.35147,74.93002,74.21582,situp
69.12132,75.92789,166.38039,173.19893,26.372332,22.271238,74.9426,74.08805,situp
68.21178,76.27768,159.66982,168.2873,34.377556,30.247734,83.79795,81.818726,situp
114.1349803719481,77.44051,0.0,171.73653,37.70458,33.301273,79.2453,78.03272,situp
70.32092,79.71714,157.4051,168.25789,42.85837,41.20621,83.21368,86.061584,situp
125.184130979961,80.76551,6.289960634186071,163.81868,48.144276,44.470997,82.26329,84.06795,situp
129.49573483013012,83.73696,7.078287772045969,169.87227,48.88066,47.618645,75.23339,81.026855,situp
129.48753192467925,83.801155,7.088477492693999,169.97212,48.870003,47.63993,75.32039,81.09725,situp
75.63014,78.650314,162.7533,167.05406,58.582508,58.387226,80.04096,81.65968,situp
76.90886,77.324745,159.9762,158.99622,66.582436,66.63079,84.79271,85.522224,situp
73.66991,75.87489,151.30782,153.57094,77.35875,75.645515,85.887215,88.35026,situp
77.164566,76.52333,144.68715,151.2048,81.97567,78.43022,87.29721,88.03607,situp
77.7571,77.95028,140.77596,144.44337,87.72839,83.7518,86.291855,87.83848,situp
77.991646,77.97976,140.745,144.57742,87.74013,83.822235,86.192345,87.8526,situp
77.81094,77.962105,138.80223,147.35168,98.67915,95.36516,89.367744,92.48944,situp
80.66415,84.56603,138.35008,143.43182,104.86058,102.420685,88.54655,93.37372,situp
86.23133,89.97813,133.30217,134.27615,109.5831,104.94007,92.572426,93.47136,situp
89.771965,93.45687,131.58113,132.04138,117.94687,112.815865,96.62155,97.44095,situp
80.55324,72.89979,139.6284,130.85803,132.16833,128.95045,100.27181,99.30229,situp
79.28529,70.47754,138.65471,128.88524,132.11147,129.13477,99.971664,99.20138,situp
108.92781,122.896255,126.35278,140.24033,134.34198,129.89145,95.3281,99.71687,situp
121.39363,110.913826,125.96806,141.2454,145.40843,145.67119,114.51056,103.21779,situp
128.14069,127.25526,135.76662,151.29153,146.80524,146.41078,107.72073,103.79896,situp
